reg;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
93;1;2023-07-10;2999409;2927612;2036041;406535;2995592;2225739;427679;0;8421
93;2;2023-07-10;511430;538350;569414;25920;509489;648414;33263;0;645
93;3;2023-07-10;271168;212601;364;0;223117;278;2;0;0
93;4;2023-07-10;93964;945;235;10;94165;632;114;0;3
93;5;2023-07-10;9354;6365;301;61;7638;376;85;0;2
93;6;2023-07-10;2474;2035;565;530;2312;510;578;0;202
93;8;2023-07-10;3864;6702;27128;219281;3983;20878;226204;392011;138229
93;9;2023-07-10;162;299;1346;11433;174;957;11676;18596;5840
93;10;2023-07-10;38;28;65;236;19;47;252;0;114
93;11;2023-07-10;1;1;0;0;1;0;0;0;0
93;12;2023-07-10;46;78;116;318;49;118;347;1393;628
94;1;2023-07-10;202070;199336;145601;19481;201550;151726;19651;0;529
94;2;2023-07-10;21215;22055;23990;593;21067;25903;788;0;10
94;3;2023-07-10;10134;7170;5;0;7354;4;0;0;0
94;4;2023-07-10;3906;35;8;0;3919;19;5;0;0
94;5;2023-07-10;273;186;5;9;210;7;9;0;0
94;6;2023-07-10;92;76;6;6;90;9;7;0;3
94;8;2023-07-10;170;241;986;12109;168;968;12304;19530;5922
94;9;2023-07-10;3;10;30;252;5;28;245;345;71
94;10;2023-07-10;2;2;3;4;1;3;4;0;5
94;12;2023-07-10;1;1;2;3;1;2;3;14;7
01;0;2023-07-10;152189;139567;83939;8656;146147;89052;8933;4103;1021
02;0;2023-07-10;150824;138910;88552;8535;145560;92934;9048;3581;1055
03;0;2023-07-10;100359;84326;41870;3086;90493;46361;3569;1604;313
04;0;2023-07-10;580670;552469;359397;28839;568420;371833;31462;10270;3430
06;0;2023-07-10;162398;135078;47058;947;139831;51569;2044;1941;89
07;0;2023-07-10;9018;8413;5471;351;8745;6039;458;138;49
08;0;2023-07-10;14857;12949;6371;651;14004;6940;743;366;108
11;0;2023-07-10;9391476;8883212;6215818;1470714;9281878;6941127;1584859;1034865;391636
24;0;2023-07-10;2080553;2022530;1564383;462467;2060196;1661554;479690;284767;119944
27;0;2023-07-10;2196404;2124528;1590096;435139;2174513;1714988;452095;263572;96696
28;0;2023-07-10;2737387;2665267;2054709;563115;2710667;2182308;585978;353098;136329
32;0;2023-07-10;4747655;4588089;3411054;846400;4699762;3717960;898091;527145;200307
44;0;2023-07-10;4328879;4187177;3140715;793361;4285112;3391386;828268;485386;173432
52;0;2023-07-10;3165874;3086216;2357910;665298;3137091;2492257;686661;427558;159703
53;0;2023-07-10;2846216;2782631;2183318;639947;2819146;2271708;653662;409417;155245
75;0;2023-07-10;4977859;4844181;3749461;1096795;4926384;3936195;1120087;684338;271890
76;0;2023-07-10;4672749;4498709;3349354;892682;4618622;3583181;922001;561879;207104
84;0;2023-07-10;6285574;6025463;4294661;1103513;6224002;4750314;1165924;714122;255283
93;0;2023-07-10;3891910;3695016;2635575;664324;3836539;2897949;700200;412000;154084
94;0;2023-07-10;237866;229112;170636;32457;234365;178669;33016;19889;6547
