reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
02;0;2023-07-10;150824;145560;92934;9048;3581;1055;350373.0;43.0;41.5;26.5;2.6;1.0;0.3
03;0;2023-07-10;100359;90493;46361;3569;1604;313;294436.0;34.1;30.7;15.7;1.2;0.5;0.1
04;0;2023-07-10;580670;568420;371833;31462;10270;3430;868846.0;66.8;65.4;42.8;3.6;1.2;0.4
06;0;2023-07-10;162398;139831;51569;2044;1941;89;299348.0;54.3;46.7;17.2;0.7;0.6;0.0
07;0;2023-07-10;9018;8745;6039;458;138;49;10124.0;89.1;86.4;59.7;4.5;1.4;0.5
08;0;2023-07-10;14857;14004;6940;743;366;108;34065.0;43.6;41.1;20.4;2.2;1.1;0.3
11;0;2023-07-10;9391476;9281878;6941127;1584859;1034865;391636;12395148.0;75.8;74.9;56.0;12.8;8.3;3.2
24;0;2023-07-10;2080553;2060196;1661554;479690;284767;119944;2564915.0;81.1;80.3;64.8;18.7;11.1;4.7
27;0;2023-07-10;2196404;2174513;1714988;452095;263572;96696;2785393.0;78.9;78.1;61.6;16.2;9.5;3.5
28;0;2023-07-10;2737387;2710667;2182308;585978;353098;136329;3307286.0;82.8;82.0;66.0;17.7;10.7;4.1
32;0;2023-07-10;4747655;4699762;3717960;898091;527145;200307;5987172.0;79.3;78.5;62.1;15.0;8.8;3.3
44;0;2023-07-10;4328879;4285112;3391386;828268;485386;173432;5542094.0;78.1;77.3;61.2;14.9;8.8;3.1
52;0;2023-07-10;3165874;3137091;2492257;686661;427558;159703;3873096.0;81.7;81.0;64.3;17.7;11.0;4.1
53;0;2023-07-10;2846216;2819146;2271708;653662;409417;155245;3402932.0;83.6;82.8;66.8;19.2;12.0;4.6
75;0;2023-07-10;4977859;4926384;3936195;1120087;684338;271890;6081985.0;81.8;81.0;64.7;18.4;11.3;4.5
76;0;2023-07-10;4672749;4618622;3583181;922001;561879;207104;6053548.0;77.2;76.3;59.2;15.2;9.3;3.4
84;0;2023-07-10;6285574;6224002;4750314;1165924;714122;255283;8153233.0;77.1;76.3;58.3;14.3;8.8;3.1
93;0;2023-07-10;3891910;3836539;2897949;700200;412000;154084;5131187.0;75.8;74.8;56.5;13.6;8.0;3.0
94;0;2023-07-10;237866;234365;178669;33016;19889;6547;349465.0;68.1;67.1;51.1;9.4;5.7;1.9
